Tanggal,Komentar
2023-10-30T22:39:15Z,Sekarang pemerintah bikin regulasi yang ketat.
2023-10-14T09:49:41Z,Bubarkan sajah dalam usaha apapun yang ada dimenos bukan tiktok saja  merugika umkm setuju  jojoko👍👍👍👍👍👍👍👍👍👍👍👍
2023-10-12T15:27:07Z,saya umkm mojokerto ngak bisa nyicil mekar gara gara tik tok shop di hapus pak jokowi
2023-10-12T15:23:11Z,tik tok shop tolong di buka lagi sekarang sandang pangan jadi mahal
2023-10-11T10:02:34Z,Tutup tik tok di indonesia
2023-10-06T02:23:12Z,Kebanyakan alasan atas ketidakmampuan pikiran pemimpin
2023-10-05T01:29:03Z,Siapa yang buat keranjang dan algoritma itu
2023-10-04T14:58:47Z,"Umkm gak bakal maju kalo gak ada kemauan belajar digital/jualan online, hanya umkm yang mau belajar dan mampu beradaptasi dengan perkembangan zaman yang semakin canggih yang akan melesat dan maju"
2023-10-04T13:50:09Z,"dulu waktu korona sempat kesulitan cari masker karena semua negara mendahulukan rakyatnya. tetapi apakah rakyat indonesia bingung? tidak,!   dengan kreatifitas masyarakat indonesia tidak lama mereka membuat masker batik, scuba dll. akan tetapi sayang umur mereka tidak panjang karena tidak lama digempur lagi masker2 impor.  kita tidak akan mampu kalau saat ini melawan product mereka kalau tidak dikasih kesempatan dengan memberikan regulasi yg ketat untuk product2 impor! saya sedih masah dari gantungan baju, pisau dll , yg produck konsumers smua skrg yang beredar  product impor! 

tolong lah kalau mau indonesia emas 
1. batasi product impor khususnya product konsumers

2. regulasi terhadap produsen yang menjual ke konsumen terhadap ijin usaha dll. karena mereka banyak menjual eceran.

jika point no 1 bisa diregulasi dibatasi maka point 2 produsen indonesia akan berjalan tanpa harus menjual di eccommers dengan cara eceran.  karena akan dengan diregulasi akan muncul ekosistem ekonomi."
2023-10-04T11:13:56Z,Pemerintah egois banget
2023-10-04T10:12:05Z,tik tok sopa ....
2023-10-04T08:27:51Z,Berani taruhan umkm bakal tetap sepi
2023-10-04T07:23:27Z,"dari lahir memang selalu terlambat, bobrok kebanyakan kkn."
